alg,sigma,lr,pre_acc,post_acc,improvement,time_s
es,0.01,0.05,0.01171875,0.00390625,-0.0078125,0.4298076629638672
es,0.01,0.1,0.01171875,0.01953125,0.0078125,0.5006604194641113
es,0.01,0.2,0.01171875,0.00390625,-0.0078125,0.28307604789733887
es,0.02,0.05,0.01171875,0.01953125,0.0078125,0.28584718704223633
es,0.02,0.1,0.01171875,0.01953125,0.0078125,0.3035881519317627
es,0.02,0.2,0.01171875,0.00390625,-0.0078125,0.28151869773864746
es,0.05,0.05,0.01171875,0.0078125,-0.00390625,0.2774362564086914
es,0.05,0.1,0.01171875,0.0234375,0.01171875,0.2889690399169922
es,0.05,0.2,0.01171875,0.0078125,-0.00390625,0.2776784896850586
cma,0.01,0.05,0.01171875,0.015625,0.00390625,0.28745245933532715
cma,0.01,0.1,0.01171875,0.00390625,-0.0078125,0.28904080390930176
cma,0.01,0.2,0.01171875,0.015625,0.00390625,0.28561902046203613
cma,0.02,0.05,0.01171875,0.015625,0.00390625,0.5479345321655273
cma,0.02,0.1,0.01171875,0.0,-0.01171875,0.38276171684265137
cma,0.02,0.2,0.01171875,0.0078125,-0.00390625,0.5303807258605957
cma,0.05,0.05,0.01171875,0.015625,0.00390625,0.31348729133605957
cma,0.05,0.1,0.01171875,0.00390625,-0.0078125,0.507976770401001
cma,0.05,0.2,0.01171875,0.01171875,0.0,0.4216654300689697
